,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title.1,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Action,Adventure,Fantasy,Sci-Fi,Thriller,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Documentary,Short,Film-Noir
10,Bryan Singer,434,169,0,903.0,Marlon Brando,18000.0,200069408,Kevin Spacey,Superman Returns,240396,29991,Frank Langella,0,"crystal,epic,lex luthor,lois lane,return to earth",http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English,USA,PG-13,209000000,2006,10000.0,6.1,2.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Marc Forster,403,106,395,393.0,Mathieu Amalric,451.0,168368427,Giancarlo Giannini,Quantum of Solace,330784,2023,Rory Kinnear,1,"action hero,attempted rape,bond girl,official james bond series,revenge",http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,UK,PG-13,200000000,2008,412.0,6.7,2.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gore Verbinski,313,151,563,1000.0,Orlando Bloom,40000.0,423032628,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,522040,48486,Jack Davenport,2,"box office hit,giant squid,heart,liar's dice,monster",http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,USA,PG-13,225000000,2006,5000.0,7.3,2.35,5000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Gore Verbinski,450,150,563,1000.0,Ruth Wilson,40000.0,89289910,Johnny Depp,The Lone Ranger,181792,45757,Tom Wilkinson,1,"horse,outlaw,texas,texas ranger,train",http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,PG-13,215000000,2013,2000.0,6.5,2.35,48000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Zack Snyder,733,143,0,748.0,Christopher Meloni,15000.0,291021565,Henry Cavill,Man of Steel,548573,20495,Harry Lennix,0,"based on comic book,british actor playing american character,final battle,origin of hero,reboot",http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,USA,PG-13,225000000,2013,3000.0,7.2,2.35,118000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Andrew Adamson,258,150,80,201.0,Pierfrancesco Favino,22000.0,141614023,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,149922,22697,Damián Alcázar,4,"brother brother relationship,brother sister relationship,good versus evil,king,narnia",http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,USA,PG,225000000,2008,216.0,6.6,2.35,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Joss Whedon,703,173,0,19000.0,Robert Downey Jr.,26000.0,623279547,Chris Hemsworth,The Avengers,995415,87697,Scarlett Johansson,3,"alien invasion,assassin,battle,iron man,soldier",http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,PG-13,220000000,2012,21000.0,8.1,1.85,123000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Rob Marshall,448,136,252,1000.0,Sam Claflin,40000.0,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,370704,54083,Stephen Graham,4,"blackbeard,captain,pirate,revenge,soldier",http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,PG-13,250000000,2011,11000.0,6.7,2.35,58000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Barry Sonnenfeld,451,106,188,718.0,Michael Stuhlbarg,10000.0,179020854,Will Smith,Men in Black 3,268154,12572,Nicole Scherzinger,1,"alien,criminal,m.i.b.,maximum security prison,prison",http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,PG-13,225000000,2012,816.0,6.8,1.85,40000,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Peter Jackson,422,164,0,773.0,Adam Brown,5000.0,255108370,Aidan Turner,The Hobbit: The Battle of the Five Armies,354228,9152,James Nesbitt,0,"army,elf,hobbit,middle earth,orc",http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English,New Zealand,PG-13,250000000,2014,972.0,7.5,2.35,65000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Marc Webb,599,153,464,963.0,Andrew Garfield,15000.0,262030663,Emma Stone,The Amazing Spider-Man,451803,28489,Chris Zylka,0,"lizard,outcast,spider,spider man,teenager",http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2012,10000.0,7.0,2.35,56000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Ridley Scott,343,156,0,738.0,William Hurt,891.0,105219735,Mark Addy,Robin Hood,211765,3244,Scott Grimes,0,"1190s,archer,england,king of england,robin hood",http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,PG-13,200000000,2010,882.0,6.7,2.35,17000,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,Peter Jackson,509,186,0,773.0,Adam Brown,5000.0,258355354,Aidan Turner,The Hobbit: The Desolation of Smaug,483540,9152,James Nesbitt,6,"dwarf,elf,lake town,mountain,sword and sorcery",http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,PG-13,225000000,2013,972.0,7.9,2.35,83000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chris Weitz,251,113,129,1000.0,Eva Green,16000.0,70083519,Christopher Lee,The Golden Compass,149019,24106,Kristin Scott Thomas,2,"children,epic,friend,girl,quest",http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,PG-13,180000000,2007,6000.0,6.1,2.35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Peter Jackson,446,201,0,84.0,Thomas Kretschmann,6000.0,218051260,Naomi Watts,King Kong,316018,7123,Evan Parke,0,"animal name in title,ape abducts a woman,gorilla,island,king kong",http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2005,919.0,7.2,2.35,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,James Cameron,315,194,0,794.0,Kate Winslet,29000.0,658672302,Leonardo DiCaprio,Titanic,793059,45223,Gloria Stuart,0,"artist,love,ship,titanic,wet",http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,PG-13,200000000,1997,14000.0,7.7,2.35,26000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Anthony Russo,516,147,94,11000.0,Scarlett Johansson,21000.0,407197282,Robert Downey Jr.,Captain America: Civil War,272670,64798,Chris Evans,0,"based on comic book,knife,marvel cinematic universe,returning character killed off,superhero",http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,19000.0,8.2,2.35,72000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Peter Berg,377,131,532,627.0,Alexander Skarsgård,14000.0,65173160,Liam Neeson,Battleship,202382,26679,Tadanobu Asano,0,"box office flop,hawaii,naval,oahu hawaii,ship",http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2012,10000.0,5.9,2.35,44000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Colin Trevorrow,644,124,365,1000.0,Judy Greer,3000.0,652177271,Bryce Dallas Howard,Jurassic World,418214,8458,Omar Sy,0,"dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor",http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,PG-13,150000000,2015,2000.0,7.0,2.0,150000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sam Mendes,750,143,0,393.0,Helen McCrory,883.0,304360277,Albert Finney,Skyfall,522030,2039,Rory Kinnear,0,"brawl,childhood home,computer cracker,intelligence agency,terrorist cell",http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,PG-13,200000000,2012,563.0,7.8,2.35,80000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Sam Raimi,300,135,0,4000.0,James Franco,24000.0,373377893,J.K. Simmons,Spider-Man 2,411164,43388,Kirsten Dunst,1,"death,doctor,scientist,super villain,tentacle",http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,PG-13,200000000,2004,11000.0,7.3,2.35,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Shane Black,608,195,1000,3000.0,Jon Favreau,21000.0,408992272,Robert Downey Jr.,Iron Man 3,557489,30426,Don Cheadle,3,"armor,explosion,human bomb,missile attack,terrorist",http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2013,4000.0,7.2,2.35,95000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Tim Burton,451,108,13000,11000.0,Alan Rickman,40000.0,334185206,Johnny Depp,Alice in Wonderland,306320,79957,Anne Hathaway,0,"alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion",http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000.0,6.5,1.85,24000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Brett Ratner,334,104,420,560.0,Kelsey Grammer,20000.0,234360014,Hugh Jackman,X-Men: The Last Stand,383427,21714,Daniel Cudmore,0,"battle,mutant,outrage,walking through a wall,x men",http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2006,808.0,6.8,2.35,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Dan Scanlon,376,104,37,760.0,Tyler Labine,12000.0,268488329,Steve Buscemi,Monsters University,235025,14863,Sean Hayes,0,"cheating,fraternity,monster,singing in a car,university",http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,2013,779.0,7.3,1.85,44000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Michael Bay,366,150,0,464.0,Kevin Dunn,894.0,402076689,Glenn Morshower,Transformers: Revenge of the Fallen,323207,3218,Ramon Rodriguez,0,"autobot,decepticon,machine,sun,symbol",http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2009,581.0,6.0,2.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Michael Bay,378,165,0,808.0,Sophia Myles,974.0,245428137,Bingbing Li,Transformers: Age of Extinction,242420,3988,Kelsey Grammer,2,"blockbuster,bumblebee the character,semi truck and trailer,texas,truck",http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,PG-13,210000000,2014,956.0,5.7,2.35,56000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Sam Raimi,525,130,0,11000.0,Mila Kunis,44000.0,234903076,Tim Holmes,Oz the Great and Powerful,175409,73441,James Franco,4,"circus,magic,magician,oz,witch",http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,PG,215000000,2013,15000.0,6.4,2.35,60000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Marc Webb,495,142,464,825.0,Andrew Garfield,15000.0,202853933,Emma Stone,The Amazing Spider-Man 2,321227,28631,B.J. Novak,0,"costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager",http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,PG-13,200000000,2014,10000.0,6.7,2.35,41000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Joseph Kosinski,469,125,364,1000.0,Olivia Wilde,12000.0,172051787,Jeff Bridges,TRON: Legacy,264183,25550,James Frain,0,"arcade,bridge,disappearance,escape,warrior",http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,PG,170000000,2010,10000.0,6.8,2.35,30000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,John Lasseter,304,106,487,776.0,Thomas Kretschmann,1000.0,191450875,Joe Mantegna,Cars 2,101178,4482,Eddie Izzard,0,"best friend,car race,conspiracy,gadget car,spy",http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,919.0,6.3,2.35,10000,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Martin Campbell,436,123,258,326.0,Temuera Morrison,16000.0,116593191,Ryan Reynolds,Green Lantern,223393,17657,Taika Waititi,2,"autopsy,lantern,planet,ring,test pilot",http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,368.0,5.6,2.35,24000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Lee Unkrich,453,103,125,721.0,John Ratzenberger,15000.0,414984497,Tom Hanks,Toy Story 3,544884,19085,Don Rickles,3,"college,day care,escape,teddy bear,toy",http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,2010,1000.0,8.3,1.85,30000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,McG,422,118,368,988.0,Bryce Dallas Howard,23000.0,125320003,Christian Bale,Terminator Salvation,286095,27468,Common,0,"death row,future,machine,rescue,skynet",http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,PG-13,200000000,2009,3000.0,6.6,2.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,James Wan,424,140,0,14000.0,Paul Walker,26000.0,350034110,Jason Statham,Furious 7,278232,79150,Vin Diesel,0,"car falling off a cliff,hospital,revenge,star died before release,terrorist",http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2015,23000.0,7.2,2.35,94000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Marc Forster,654,123,395,1000.0,Brad Pitt,17000.0,202351611,Peter Capaldi,World War Z,465019,32392,Mireille Enos,0,"chaos,disease,infection,pandemic,zombie",http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,11000.0,7.0,2.35,129000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,Bryan Singer,539,149,0,20000.0,Peter Dinklage,34000.0,233914986,Jennifer Lawrence,X-Men: Days of Future Past,514125,91434,Hugh Jackman,7,"dystopia,super strength,supernatural power,time paradox,time travel",http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,22000.0,8.0,2.35,82000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,J.J. Abrams,590,132,14000,928.0,Bruce Greenwood,19000.0,228756232,Benedict Cumberbatch,Star Trek Into Darkness,395573,21411,Noel Clarke,0,"admiral,captain,manhunt,mission,space",http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,981.0,7.8,2.35,92000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Bryan Singer,338,114,0,140.0,Ewen Bremner,979.0,65171860,Eddie Marsan,Jack the Giant Slayer,106416,1766,Ralph Brown,1,"bean,giant,king,no opening credits,princess",http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,557.0,6.3,2.35,22000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Baz Luhrmann,490,143,1000,77.0,Elizabeth Debicki,29000.0,144812796,Leonardo DiCaprio,The Great Gatsby,362912,29770,Steve Bisley,4,"ingratitude,mansion,party,title appears in writing,tragedy",http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,509.0,7.3,2.35,115000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,Mike Newell,306,116,179,236.0,Richard Coyle,15000.0,90755643,Jake Gyllenhaal,Prince of Persia: The Sands of Time,222403,16149,Reece Ritchie,2,"alamut,dagger,king,persia,princess",http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,2010,567.0,6.6,2.35,23000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Guillermo del Toro,575,131,0,919.0,Clifton Collins Jr.,16000.0,101785482,Charlie Hunnam,Pacific Rim,381148,19166,Larry Joe Campbell,0,"giant monster,kaiju,pilot,portal,robot",http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,968.0,7.0,1.85,83000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Michael Bay,428,154,0,581.0,Lester Speight,894.0,352358779,Glenn Morshower,Transformers: Dark of the Moon,326180,2593,Kevin Dunn,2,"autobot,decepticon,job interview,moon,spacecraft",http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,829.0,6.3,2.35,46000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Steven Spielberg,470,122,14000,1000.0,Ray Winstone,11000.0,317011114,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,333847,14959,Jim Broadbent,2,"cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957",http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,1000.0,6.2,2.35,5000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Mark Andrews,488,93,56,838.0,John Ratzenberger,2000.0,237282182,Kelly Macdonald,Brave,273556,5005,Julie Walters,0,"archery,coming of age,female warrior,princess,rebellious daughter",http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,1000.0,7.2,2.35,39000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Justin Lin,322,122,681,105.0,Melissa Roxburgh,998.0,130468626,Sofia Boutella,Star Trek Beyond,53607,1327,Lydia Wilson,4,"hatred,sequel,space opera,star trek,third part",http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119.0,7.5,2.35,30000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Andrew Stanton,421,98,475,522.0,Fred Willard,1000.0,223806889,John Ratzenberger,WALL·E,718837,2975,Jeff Garlin,0,"earth,obesity,plant,robot,soil",http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,G,180000000,2008,729.0,8.4,2.35,16000,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Brett Ratner,162,91,420,173.0,Dana Ivey,268.0,140080850,Tzi Ma,Rush Hour 3,121084,1125,Noémie Lenoir,2,"ambassador,assassination,chinese,french,triad",http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,268.0,6.2,2.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,Roland Emmerich,367,158,776,310.0,Liam James,1000.0,166112167,Oliver Platt,2012,283418,2144,Tom McCarthy,0,"ark,catastrophe,geologist,president,writer",http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,468.0,5.8,2.35,13000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Robert Zemeckis,240,96,0,10000.0,Colin Firth,18000.0,137850096,Robin Wright,A Christmas Carol,72809,48878,Gary Oldman,0,"charles dickens,christmas,christmas eve,ghost,scrooge",http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,14000.0,6.8,2.35,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Lana Wachowski,384,127,0,13000.0,Mila Kunis,17000.0,47375327,Channing Tatum,Jupiter Ascending,139593,47334,Eddie Redmayne,1,"box office flop,critically bashed,planet earth,space opera,woman in bra and panties",http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,15000.0,5.4,2.35,44000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,David Yates,248,110,282,103.0,Alexander Skarsgård,11000.0,124051759,Christoph Waltz,The Legend of Tarzan,42372,21175,Casper Crump,2,"africa,capture,jungle,male objectification,tarzan",http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000.0,6.6,2.35,29000,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Andrew Adamson,284,150,80,82.0,Kiran Shah,1000.0,291709845,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",286506,1317,Shane Rangi,5,"hide and seek,lion,magic,professor,snow",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,PG,180000000,2005,190.0,6.9,2.35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
