Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
Memory: The Origins of Alien, NR, Alexandre O. Philippe,   93 minutes    , Screen Media  ,  82%    ,    77  ,  92%    , 12
Marianne & Leonard: Words of Love," R (for some drug material, sexual references and brief nudity)", Nick Broomfield,   97 minutes    , Roadside Attractions  ,  79%    ,    110  ,  85%    , 48
Harpoon, NR, Rob Grant,   83 minutes    , Epic Pictures  ,  96%    ,    56  ,  60%    , 81
The Art of Self-Defense," R (for violence, sexual content, graphic nudity and language)", Riley Stearns,   104 minutes    , Bleecker Street  ,  84%    ,    158  ,  63%    , 631
Bliss, NR, Joe Begos,   79 minutes    , Dark Sky Films  ,  90%    ,    39  ,  63%    , 73
"The Gangster, the Cop, the Devil", NR, Lee Won-Tae,   110 minutes    , Well Go USA Entertainment  ,  97%    ,    29  ,  94%    , 18
Ready to Mingle (Bachelorettes) (Solteras), NR, Luis Javier M. Henaine,   95 minutes    , Netflix  ,  44%    ,    9  ,  50%    , 20
The Influence (La influencia), NR, Denis Rovira,   99 minutes    , Netflix  ,  0%    ,    5  ,  30%    , 30
Cuck, NR, Rob Lambert,   115 minutes    , Gravitas Ventures  ,  55%    ,    11  ,  29%    , 102
El Camino: A Breaking Bad Movie, NR, Vince Gilligan,   122 minutes    , Netflix  ,  91%    ,    121  ,  81%    ," 4,465"
Fractured, NR, Brad Anderson,   100 minutes    , Netflix  ,  61%    ,    28  ,  50%    , 406
Quartet, R, James Ivory,   100 minutes    , Cohen Film Collection  ,  47%    ,    15  ,  32%    , 112
The Grief of Others, NR, Patrick Wang,   103 minutes    , Vanishing Angle  ,  92%    ,    12  ,  64%    , 51
Spider-Man: Far From Home," PG-13 (for sci-fi action violence, some language and brief suggestive comments)", Jon Watts,   130 minutes    , Sony Pictures  ,  91%    ,    427  ,  95%    ," 69,223"
Bodied," R (for strong language and sexual content throughout, some drug use and brief nudity)", Joseph Kahn,   120 minutes    , NEON  ,  90%    ,    78  ,  86%    , 795
My Son (Mon garçon), NR, Christian Carion,   84 minutes    , Cohen Media Group  ,  57%    ,    21  ,  15%    , 14
Four Hands (Die Vierhändige), NR, Oliver Kienle,   94 minutes    , ARRI Media  ,  83%    ,    12  ,  20%    , 16
In the Aisles (In den Gängen), NR, Thomas Stuber,   125 minutes    , Music Box Films  ,  89%    ,    37  ,  65%    , 34
The Wedding Year," R (for language, some sexual content and drug/alcohol use)", Robert Luketic,   90 minutes    , Entertainment Studios Motion Pictures  ,  44%    ,    9  ,  56%    , 43
Loro, NR, Paolo Sorrentino,   158 minutes    , Sundance Selects  ,  78%    ,    72  ,  59%    , 116
Wild Rose," R (for language throughout, some sexuality and brief drug material)", Tom Harper,   101 minutes    , NEON  ,  92%    ,    182  ,  87%    , 170
"A Bread Factory, Part One: For the Sake of Gold", NR, Patrick Wang,   122 minutes    , Vanishing Angle  ,  100%    ,    29  ,  67%    , 51
"A Bread Factory, Part Two: Walk with Me a While", NR, Patrick Wang,   120 minutes    , Vanishing Angle  ,  100%    ,    21  ,  71%    , 25
Skin," R (for disturbing violent content, pervasive language, some sexuality, and brief drug use)", Guy Nattiv,   110 minutes    , A24  ,  76%    ,    78  ,  84%    , 296
American Dreamer," R (for disturbing material, violence, some strong sexual content, pervasive language, and drug use)", Derrick Borte,   92 minutes    , Saban Films  ,  53%    ,    15  ,  82%    , 65
"Empathy, Inc.", NR, Yedidya Gorsetman ,   98 minutes    , Dark Star Pictures  ,  85%    ,    26  ,  89%    , 46
Prey," PG-13 (for violence, bloody images, terror, and brief strong language)", Franck Khalfoun,   85 minutes    , Cinedigm  ,  13%    ,    8  ,  24%    , 29
Annabelle Comes Home, R (for horror violence and terror), Gary Dauberman,   100 minutes    , New Line Cinema  ,  65%    ,    200  ,  70%    ," 9,405"
Crawl," R (for bloody creature violence, and brief language)", Alex Aja,   87 minutes    , Paramount Pictures  ,  83%    ,    185  ,  75%    ," 7,593"
Midsommar," R (for disturbing ritualistic violence and grisly images, strong sexual content, graphic nudity, drug use and language)", Ari Aster,   140 minutes    , A24  ,  83%    ,    373  ,  63%    ," 5,229"
Corporate Animals," R (for pervasive strong language, violence, some drug use and sexuality)", Patrick Brice,   85 minutes    , Screen Media Films  ,  25%    ,    51  ,  17%    , 33
Pavarotti, PG-13 (for brief strong language and a war related image), Ron Howard,   114 minutes    , CBS Films  ,  87%    ,    83  ,  98%    , 857
The Day Shall Come, NR, Christopher Morris,   88 minutes    , IFC Films  ,  65%    ,    88  ,  56%    , 77
Depraved, NR, Larry Fessenden,   115 minutes    , IFC Midnight  ,  87%    ,    53  ,  46%    , 50
Auggie, NR, Matt Kane,   81 minutes    , Samuel Goldwyn Films  ,  80%    ,    15  ,  78%    , 9
Between Two Ferns: The Movie, NR, Scott Aukerman,   82 minutes    , Netflix  ,  74%    ,    58  ,  44%    , 257
Bloodline," R (for strong bloody violence and disturbing images, graphic nudity, and language)", Henry Jacobson,   98 minutes    , Momentum Pictures  ,  53%    ,    19  ,  57%    , 97
Running with the Devil," R (for violence and disturbing images, drug use, strong sexual content, and language)", Jason Cabell,   100 minutes    , Quiver Distribution  ,  25%    ,    24  ,  40%    , 110
10 Minutes Gone, R (for language throughout and for violence), Brian A. Miller,   88 minutes    , Lionsgate  ,  0%    ,    7  ,  19%    , 75
The Last Photograph, NR, Danny Huston,   85 minutes    , Freestyle Digital Media  ,  71%    ,    7  ,  57%    , 10
Shaft," R (for pervasive language, violence, sexual content, some drug material and brief nudity)", Tim Story,   119 minutes    , New Line Cinema  ,  32%    ,    124  ,  94%    ," 7,727"
Being Frank," R (for language, some sexual references and drug use)", Miranda Bailey,   110 minutes    , The Film Arcade  ,  31%    ,    39  ,  64%    , 66
The Dead Don't Die," R (for zombie violence/gore, and for language)", Jim Jarmusch,   103 minutes    , Focus Features  ,  55%    ,    290  ,  38%    ," 1,784"
Wayne, NR, Jeremy Sims,   98 minutes    , Gunpowder & Sky  ,  89%    ,    9  ,  100%    , 8
Low Tide," R (for language, some violence and teen drug use)", Kevin McMullin,   86 minutes    , A24  ,  71%    ,    31  ,  65%    , 38
Vita & Virginia, NR, Chanya Button,   110 minutes    , IFC Films  ,  41%    ,    86  ,  61%    , 57
Echo In the Canyon, PG-13 (for drug references and some suggestive content), Andrew Slater (XI) ,   82 minutes    , Greenwich Entertainment  ,  92%    ,    66  ,  92%    , 336
Night Hunter (Nomis)," R (for disturbing and violent content, language throughout, and some sexual references)", David Raymond (VII) ,   96 minutes    , Saban Films  ,  14%    ,    35  ,  56%    , 158
Child's Play," R (for bloody horror violence, and language throughout)", Lars Klevberg,   90 minutes    , Orion Pictures  ,  63%    ,    196  ,  57%    ," 5,796"
Untouchable, NR, Ursula Macfarlane,   98 minutes    , Hulu  ,  85%    ,    48  ,  76%    , 17
Tall Girl, NR, Nzingha Stewart,   102 minutes    , Netflix  ,  44%    ,    9  ,  18%    , 98
Yesterday, PG-13 (for suggestive content and language), Danny Boyle,   112 minutes    , Universal Pictures  ,  63%    ,    338  ,  89%    ," 14,665"
Darlin', NR, Pollyanna McIntosh,   101 minutes    , Dark Sky Films  ,  70%    ,    30  ,  50%    , 30
Anna," R (for strong violence, language, and some sexual content)", Luc Besson,   118 minutes    , Summit Entertainment  ,  36%    ,    67  ,  81%    ," 2,225"
Satanic Panic, NR, Chelsea Stardust,   88 minutes    , RLJE Films  ,  61%    ,    56  ,  51%    , 79
Strange But True," PG-13 (for mature thematic elements, some violence, suggestive material and brief strong language)", Rowan Athale,   96 minutes    , Lionsgate  ,  57%    ,    23  ,  83%    , 6
Riot Girls, NR, Jovanka Vuckovic,   82 minutes    , Cranked Up Films  ,  89%    ,    19  ,  41%    , 17
Haunt," R (for horror violence/gore, and language throughout)"," Scott Beck,  Bryan Woods",   92 minutes    , Momentum Pictures  ,  71%    ,    42  ,  100%    , 8
The Fanatic," R (for some strong violence, and language throughout)", Fred Durst,   88 minutes    , Quiver Distribution  ,  16%    ,    58  ,  31%    , 258
Can You Keep a Secret?, NR, Elise Duran,   95 minutes    , Vertical Entertainment  ,  27%    ,    11  ,  40%    , 146
Bill Burr: Paper Tiger, NR, Bill Burr,   67 minutes    , Netflix  ,  86%    ,    7  ,  96%    ," 1,308"
Dude Bro Party Massacre III, NR," Jon Salmon,  Tomm Jacobsen,  Michael Rousselet",   91 minutes    , 5-Second Films and Snoot Entertainment  ,  90%    ,    10  ,  77%    , 237
The Secret Life of Pets 2, PG (for some action and rude humor)," Chris Renaud,  Jonathan Del Val",   86 minutes    , Universal Pictures  ,  60%    ,    155  ,  90%    ," 21,933"
The Professor and the Madman, NR, Farhad Safinia,   125 minutes    , Vertical Entertainment  ,  42%    ,    26  ,  77%    , 293
Aladdin, PG (for some action/peril), Guy Ritchie,   128 minutes    , Walt Disney Pictures  ,  57%    ,    362  ,  94%    ," 59,043"
John Wick: Chapter 3 - Parabellum," R (for pervasive strong violence, and some language)", Chad Stahelski,   131 minutes    , Lionsgate  ,  90%    ,    331  ,  86%    ," 38,122"
Men in Black International," PG-13 (for sci-fi action, some language and suggestive material)", F. Gary Gray,   120 minutes    , Columbia Pictures  ,  23%    ,    304  ,  66%    ," 11,493"
Tone-Deaf," R (for violence, language throughout, sexual content and some drug use)"," Richard Bates, Jr.",   87 minutes    , Saban Films  ,  39%    ,    28  ,  24%    , 41
Be Natural: The Untold Story of Alice Guy-Blaché, NR, Pamela B. Green,   103 minutes    , Zeitgeist Films  ,  95%    ,    84  ,  96%    , 168
Booksmart," R (for strong sexual content and language throughout, drug use and drinking - all involving teens)", Olivia Wilde,   105 minutes    , United Artists  ,  97%    ,    344  ,  77%    ," 4,116"
Jacob's Ladder," R (for language, some violence, sexuality and drug content)", David M. Rosenthal,   89 minutes    , Vertical Entertainment  ,  5%    ,    22  ,  40%    , 132
Shadow, NR, Zhang Yimou,   115 minutes    , Well Go USA Entertainment  ,  95%    ,    94  ,  80%    , 347
Driven," R (for language throughout, some sexual references, drug use and brief nudity)", Nick Hamm,   108 minutes    , Variance Films & Universal Pictures Content Group  ,  62%    ,    50  ,  72%    , 122
Gwen, NR, William McGregor,   98 minutes    , RLJE Films  ,  72%    ,    61  ,  78%    , 139
Sextuplets, NR, Michael Tiddes,   99 minutes    , Netflix  ,  14%    ,    14  ,  38%    , 34
Ladyworld, NR, Amanda Kramer,   93 minutes    , Cleopatra Entertainment  ,  50%    ,    20  ,  33%    , 21
Socrates, NR, Alexandre Moratto,   71 minutes    , Breaking Glass Pictures  ,  84%    ,    19  ,  78%    , 9
American Factory, NR," Julia Reichert,  Steven Bognar",   115 minutes    , Netflix  ,  96%    ,    84  ,  79%    , 427
The Tomorrow Man, PG-13 (for brief strong language and some suggestive material), Noble Jones,   94 minutes    , Bleecker Street  ,  42%    ,    55  ,  44%    , 43
Ma," R (for violent/disturbing material, language throughout, sexual content, and for teen drug and alcohol use)", Tate Taylor,   110 minutes    , Universal Pictures  ,  55%    ,    196  ,  64%    ," 8,228"
5B," PG-13 (for thematic content including unsettling images, and some strong language)"," Dan Krauss,  Paul Haggis",   93 minutes    , RYOT Films  ,  100%    ,    19  ,  97%    , 36
Spider in the Web, NR, Eran Riklis,   114 minutes    , Vertical Entertainment  ,  75%    ,    8  ,  35%    , 20
Angel of Mine," R (for language, some sexuality and brief nudity)", Kim Farrant,   98 minutes    , Lionsgate  ,  70%    ,    20  ,  90%    , 332
Hot Air, NR, Frank Coraci,   103 minutes    , Freestyle Releasing  ,  18%    ,    17  ,  64%    , 25
Burn," R (for language throughout, violence including a sexual assault, and some sexual references)", Mike Gan,   88 minutes    , Momentum Pictures  ,  58%    ,    12  ,  41%    , 44
One Last Night, NR, Anthony Sabet,   77 minutes    , ASA Pictures  ,  60%    ,    5  ,  83%    , 6
Love Ranch," R (for sexual content, pervasive language and some violence)", Taylor Hackford,   117 minutes    , MPI Media Group  ,  13%    ,    52  ,  28%    ," 1,235"
The Red Sea Diving Resort, NR, Gideon Raff,   130 minutes    , Netflix  ,  30%    ,    40  ,  80%    , 721
The Hustle, PG-13 (for crude sexual content and language), Chris Addison,   93 minutes    , MGM  ,  14%    ,    157  ,  44%    ," 3,394"
Light of My life, R (for some violence), Casey Affleck,   119 minutes    , Saban Films  ,  81%    ,    53  ,  76%    , 308
Girls of the Sun (Les filles du soleil), NR, Eva Husson,   111 minutes    , Cohen Media Group  ,  45%    ,    49  ,  85%    , 28
A Dog's Journey," PG (for thematic content, some peril and rude humor)", Gail Mancuso,   108 minutes    , Universal Pictures  ,  50%    ,    84  ,  92%    ," 2,875"
Rocketman," R (for language throughout, some drug use and sexual content)", Dexter Fletcher,   121 minutes    , Paramount Pictures  ,  89%    ,    362  ,  88%    ," 21,649"
Red Joan, R (for brief sexuality/nudity), Trevor Nunn,   110 minutes    , IFC Films  ,  30%    ,    144  ,  56%    , 199
Otherhood," R (for language, sexual references and brief nudity)", Cindy Chupack,   120 minutes    , Netflix  ,  25%    ,    24  ,  56%    , 179
Charlie Says," R (for disturbing violent content, strong sexuality, graphic nudity, drug use, and language)", Mary Harron,   111 minutes    , IFC Films  ,  59%    ,    70  ,  77%    , 175
Nekrotronic," R (for bloody violence, and language throughout)", Kiah Roache-Turner,   99 minutes    , Momentum Pictures  ,  40%    ,    20  ,  72%    , 49
Brightburn," R (for horror violence/bloody images, and language)", David Yarovesky,   91 minutes    , Screen Gems  ,  57%    ,    198  ,  67%    ," 4,331"
Amazing Grace, G," Apr 5, 2019 limited",   87 minutes    , NEON  ,  99%    ,    153  ,  81%    , 310
All Is True," PG-13 (for thematic elements, suggestive material and language)", Kenneth Branagh,   101 minutes    , Sony Pictures Classics  ,  72%    ,    135  ,  69%    , 252
The Last Black Man in San Francisco," R (for language, brief nudity and drug use)", Joe Talbot,   120 minutes    , A24  ,  93%    ,    198  ,  84%    , 506
Unplanned, R (for some disturbing/bloody images)," Chuck Konzelman,  Cary Solomon",   110 minutes    , Pure Flix  ,  40%    ,    25  ,  90%    ," 5,234"
Ode to Joy, R (for some language and sexual references), Jason Winer,   98 minutes    , IFC Films  ,  46%    ,    28  ,  72%    , 36
15 Minutes of War (L'intervention), NR, Fred Grivois,   98 minutes    , Blue Fox Entertainment  ,  43%    ,    7  ,  71%    , 7
Every Time I Die, NR, Robi Michael,   98 minutes    , Gravitas Ventures  ,  100%    ,    8  ,  57%    , 47
The Night Sitter, NR," John Rocco,  Abiel Bruhn",   88 minutes    , Roller Disco Massacre  ,  75%    ,    8  ,  59%    , 35
A Score to Settle, NR, Shawn Ku,   104 minutes    , RLJE Films  ,  15%    ,    20  ,  22%    , 55
Coyote Lake, NR, Sara Seligman,   93 minutes    , Cranked Up Films  ,  83%    ,    6  ,  88%    , 34
Madness in the Method, NR, Jason Mewes,   99 minutes    , Straightwire Films  ,  25%    ,    8  ,  61%    , 36
Avengers: Endgame," PG-13 (for sequences of sci-fi violence and action, and some language)"," Joe Russo,  Anthony Russo",   182 minutes    , Marvel Studios  ,  94%    ,    505  ,  90%    ," 68,832"
UglyDolls, PG (for thematic elements and brief action), Kelly Asbury,   87 minutes    , STXfilms  ,  27%    ,    85  ,  55%    ," 1,039"
Long Shot," R (for strong sexual content, language throughout and some drug use)", Jonathan Levine,   115 minutes    , Summit Entertainment  ,  82%    ,    283  ,  75%    ," 4,619"
Pokémon Detective Pikachu," PG (for action/peril, some rude and suggestive humor, and thematic elements)", Rob Letterman,   104 minutes    , Warner Bros. Pictures  ,  69%    ,    294  ,  79%    ," 16,247"
Fast Color, PG-13 (for a scene of violence and brief strong language), Julia Hart,   100 minutes    , LD Entertainment  ,  82%    ,    83  ,  65%    , 217
Iron Sky: The Coming Race, NR, Timo Vuorensola,   92 minutes    , Vertical Entertainment  ,  29%    ,    7  ,  29%    , 78
The Curse of La Llorona, R (for violence and terror), Michael Chaves,   93 minutes    , New Line Cinema  ,  29%    ,    178  ,  38%    ," 1,795"
Teen Spirit," PG-13 (for some suggestive content, and for teen drinking and smoking)", Max Minghella,   92 minutes    , LD Entertainment and Bleecker Street  ,  71%    ,    127  ,  58%    , 254
The Wedding Guest," R (for language, some violence and brief nudity)", Michael Winterbottom,   97 minutes    , IFC Films  ,  43%    ,    69  ,  34%    , 74
El Chicano, R (for strong violence and language throughout), Ben Hernandez Bray,   107 minutes    , Briarcliff Entertainment  ,  38%    ,    24  ,  57%    , 132
Master Z: Ip Man Legacy, NR, Woo-ping Yuen,   108 minutes    , Well Go USA Entertainment  ,  89%    ,    36  ,  69%    , 131
Girls with Balls, NR, Olivier Afonso,   77 minutes    , Netflix  ,  42%    ,    12  ,  23%    , 43
The Souvenir," R (for some sexuality, graphic nudity, drug material and language)", Joanna Hogg,   119 minutes    , A24  ,  90%    ,    167  ,  36%    , 488
The Great Hack, NR," Jehane Noujaim,  Karim Amer",   113 minutes    , Netflix  ,  88%    ,    50  ,  63%    , 342
Tolkien, PG-13 (for some sequences of war violence), Dome Karukoski,   111 minutes    , Fox Searchlight Pictures  ,  50%    ,    193  ,  73%    ," 1,109"
Sword of Trust, R (for language throughout), Lynn Shelton,   89 minutes    , IFC Films  ,  93%    ,    90  ,  66%    , 137
Supervized, R (for language and some crude sexual material), Steve Barron,   84 minutes    , Great Point Media  ,  44%    ,    9  ,  44%    , 9
The Son (El hijo), NR, Sebastian Schindel,   92 minutes    , Netflix  ,  82%    ,    11  ,  75%    , 8
Astronaut, NR, Shelagh McLeod,   97 minutes    , Quiver Distribution  ,  57%    ,    35  ,  62%    , 32
She's Just a Shadow, NR, Adam Sherman,   117 minutes    , Breaking Glass Pictures  ,  20%    ,    5  ,  40%    , 5
Above the Shadows, NR, Claudia Myers,   105 minutes    , Gravitas Ventures  ,  57%    ,    7  ,  80%    , 20
Critters Attack!, R (for bloody creature violence), Bobby Miller,   89 minutes    , Warner Bros. Home Entertainment  ,  44%    ,    16  ,  31%    , 13
Bottom of the 9th, R (for language throughout and some violence), Raymond De Felitta,   111 minutes    , Saban Films  ,  69%    ,    13  ,  79%    , 28
See You Soon, R (for some sexual content), David Mahmoudieh,   107 minutes    , Vertical Entertainment  ,  33%    ,    6  ,  60%    , 15
Into the Ashes, NR, Aaron Harvey,   97 minutes    , RLJE Films  ,  28%    ,    18  ,  34%    , 35
Shazam!," PG-13 (for intense sequences of action, language, and suggestive material)", David F. Sandberg,   130 minutes    , New Line Cinema  ,  90%    ,    392  ,  82%    ," 16,459"
The Edge of Love," R (for some sexuality, language and disturbing was images)", John Maybury,   111 minutes    , MPI Media Group  ,  37%    ,    59  ,  43%    ," 53,725"
Phil, R (for some language and a violent/disturbing image), Greg Kinnear,   107 minutes    , Quiver Distribution  ,  21%    ,    24  ,  47%    , 15
Ophelia," PG-13 (for a scene of violence/bloody images, some sensuality, and thematic elements)", Claire McCarthy,   114 minutes    , IFC Films  ,  61%    ,    127  ,  60%    , 5
Alita: Battle Angel," PG-13 (for sequences of sci-fi violence and action, and for some language)", Robert Rodriguez,   125 minutes    , 20th Century Fox  ,  61%    ,    313  ,  92%    ," 33,308"
Hellboy," R (for strong bloody violence and gore throughout, and language)", Neil Marshall,   120 minutes    , Summit Entertainment  ,  17%    ,    208  ,  49%    ," 4,505"
Pet Sematary," R (for horror violence, bloody images, and some language)"," Kevin Kölsch,  Dennis Widmyer",   101 minutes    , Paramount Pictures  ,  58%    ,    266  ,  33%    ," 3,341"
Styx, NR, Wolfgang Fischer,   94 minutes    , Beta Cinema  ,  95%    ,    39  ,  70%    , 65
Breakthrough, PG (for thematic content including peril), Roxann Dawson,   90 minutes    , 20th Century Fox  ,  61%    ,    62  ,  79%    ," 1,159"
